cow_id,date,cbt_mean,thi_mean,milk_yield_kg,activity,rumination,hr,behavior_mode,health_status
T002,2024-07-26,39.0,73.9,33.08,7252,485.1,67.3,grazing,healthy
T002,2024-07-27,38.38,73.4,29.41,9033,431.9,65.4,standing,healthy
T002,2024-07-28,38.87,69.2,36.75,7830,476.8,59.4,standing,healthy
T002,2024-07-29,38.84,70.1,33.13,5961,434.0,76.7,standing,healthy
T002,2024-07-30,38.87,76.2,30.45,9440,493.7,75.9,walking,healthy
T003,2024-07-01,38.85,72.2,25.55,6519,429.2,64.5,lying,healthy
T003,2024-07-02,38.86,66.0,39.47,9334,512.1,66.0,standing,healthy
T003,2024-07-03,38.88,69.5,33.31,5370,497.4,58.2,standing,healthy
T003,2024-07-04,38.85,63.6,35.65,9029,490.4,78.4,standing,healthy
T003,2024-07-05,38.6,65.9,29.89,7918,464.3,62.8,lying,healthy
T003,2024-07-06,38.38,67.6,33.65,8726,542.7,71.2,grazing,healthy
T003,2024-07-07,38.52,65.9,30.87,7700,420.0,57.0,lying,healthy
T003,2024-07-08,39.02,71.4,29.01,8095,534.4,60.2,lying,healthy
T003,2024-07-09,38.7,61.6,34.38,7074,450.7,62.2,standing,healthy
T003,2024-07-10,38.41,68.9,37.56,9429,523.4,60.8,lying,healthy
T003,2024-07-11,38.68,74.1,35.89,6709,493.9,60.8,walking,healthy
T003,2024-07-12,38.33,60.3,37.7,8093,505.0,63.9,standing,healthy
T003,2024-07-13,38.62,65.4,31.27,7287,470.3,66.4,lying,healthy
T003,2024-07-14,38.47,69.6,33.08,8366,510.1,61.7,walking,healthy
T003,2024-07-15,38.55,68.4,36.84,5887,519.5,62.1,lying,healthy
T003,2024-07-16,38.82,69.1,21.13,7461,489.8,56.9,walking,healthy
T003,2024-07-17,38.88,67.7,28.01,7210,502.2,60.9,standing,healthy
T003,2024-07-18,38.58,65.6,36.88,9496,527.5,61.7,lying,healthy
T003,2024-07-19,39.29,70.3,32.55,8540,479.4,66.6,walking,healthy
T003,2024-07-20,38.64,67.5,33.97,7285,521.1,64.2,grazing,healthy
T003,2024-07-21,38.6,69.2,42.8,9190,489.1,73.3,lying,healthy
T003,2024-07-22,38.58,65.3,23.42,9425,471.0,56.6,grazing,healthy
T003,2024-07-23,38.68,71.3,23.51,8364,527.5,57.2,standing,healthy
T003,2024-07-24,38.97,70.0,39.07,9313,503.4,63.2,lying,healthy
T003,2024-07-25,38.78,71.3,29.61,8151,483.8,68.9,lying,healthy
T003,2024-07-26,38.76,73.2,31.46,7502,481.2,71.9,walking,healthy
T003,2024-07-27,38.92,69.6,41.91,7052,457.0,55.4,lying,healthy
T003,2024-07-28,39.05,68.7,45.36,7794,502.2,76.8,grazing,healthy
T003,2024-07-29,38.83,64.8,35.58,10504,547.6,75.6,grazing,healthy
T003,2024-07-30,38.55,67.6,36.97,11358,518.9,62.5,lying,healthy
T004,2024-07-01,38.37,62.8,28.97,9307,483.3,59.1,standing,healthy
T004,2024-07-02,38.69,62.7,34.1,6933,530.2,57.1,walking,healthy
T004,2024-07-03,38.62,63.6,42.06,7214,492.8,68.0,standing,healthy
T004,2024-07-04,38.66,68.6,42.04,5698,540.9,52.2,lying,healthy
T004,2024-07-05,39.0,59.7,28.94,6655,443.1,63.5,walking,healthy
T004,2024-07-06,38.6,67.7,32.66,6133,489.2,68.3,standing,healthy
T004,2024-07-07,38.87,63.5,28.12,7774,449.6,72.4,standing,healthy
T004,2024-07-08,38.89,64.2,31.54,7466,550.0,62.1,standing,healthy
T004,2024-07-09,38.84,66.8,31.95,5511,524.7,67.0,grazing,healthy
T004,2024-07-10,38.38,64.7,36.4,4858,518.8,59.7,lying,healthy
T004,2024-07-11,38.17,74.8,31.43,7012,473.3,70.5,grazing,healthy
T004,2024-07-12,38.93,67.9,28.97,8887,567.8,72.2,standing,healthy
T004,2024-07-13,38.73,67.3,30.56,7589,473.5,63.5,standing,healthy
T004,2024-07-14,38.28,70.2,39.51,8070,475.9,71.3,standing,healthy
T004,2024-07-15,38.75,71.9,37.97,8456,427.9,60.5,lying,healthy
T004,2024-07-16,38.6,68.8,24.03,7893,439.0,63.4,lying,healthy
T004,2024-07-17,38.45,72.2,26.21,10560,509.6,69.3,grazing,healthy
T004,2024-07-18,38.84,61.9,30.46,6281,433.2,74.1,grazing,healthy
T004,2024-07-19,38.68,75.1,27.66,9494,517.1,64.8,grazing,healthy
T004,2024-07-20,38.42,71.7,22.55,8625,446.2,66.8,lying,healthy
T004,2024-07-21,38.79,70.4,33.0,8543,521.5,70.9,standing,healthy
T004,2024-07-22,38.31,67.8,34.16,7312,508.0,66.9,grazing,healthy
T004,2024-07-23,38.68,70.7,30.61,7176,525.2,65.0,standing,healthy
T004,2024-07-24,38.34,70.0,25.79,8799,483.2,69.0,lying,healthy
T004,2024-07-25,39.05,68.8,35.12,5206,501.7,73.5,standing,healthy
T004,2024-07-26,38.87,68.2,35.98,6249,474.5,53.2,walking,healthy
T004,2024-07-27,38.58,73.8,37.59,6458,477.6,66.5,lying,healthy
T004,2024-07-28,38.44,63.8,21.78,5568,454.9,72.2,grazing,healthy
T004,2024-07-29,38.94,67.1,30.26,8015,453.0,70.4,grazing,healthy
T004,2024-07-30,38.98,74.5,23.42,7234,474.2,64.6,standing,healthy
T005,2024-07-01,38.76,65.8,36.63,8631,418.4,75.6,standing,healthy
T005,2024-07-02,39.09,66.6,36.41,9074,509.4,61.2,lying,healthy
T005,2024-07-03,38.67,62.5,30.49,8324,534.2,63.2,grazing,healthy
T005,2024-07-04,38.7,55.0,29.86,9935,483.4,74.3,walking,healthy
T005,2024-07-05,38.36,70.3,32.16,9135,510.2,71.3,walking,healthy
T005,2024-07-06,38.77,72.0,40.67,7524,488.3,64.1,grazing,healthy
T005,2024-07-07,38.43,69.5,32.01,8405,516.2,67.5,walking,healthy
T005,2024-07-08,38.65,71.0,27.7,10311,478.9,67.9,lying,healthy
T005,2024-07-09,38.54,67.6,35.04,9158,478.0,63.7,lying,healthy
T005,2024-07-10,38.69,66.6,34.57,6015,505.2,63.5,grazing,healthy
T005,2024-07-11,38.67,65.8,35.48,10403,469.1,63.0,standing,healthy
T005,2024-07-12,39.11,63.1,32.98,9211,506.0,73.1,standing,healthy
T005,2024-07-13,38.97,70.6,33.33,10768,434.0,57.2,grazing,healthy
T005,2024-07-14,38.47,71.6,32.85,7443,448.0,66.8,lying,healthy
T005,2024-07-15,38.58,67.7,38.81,8813,487.4,69.8,grazing,healthy
T005,2024-07-16,38.75,64.2,35.23,9991,488.6,60.2,standing,healthy
T005,2024-07-17,38.63,65.3,41.88,8315,421.4,67.1,standing,healthy
T005,2024-07-18,38.47,65.5,38.26,8008,470.5,65.3,lying,healthy
T005,2024-07-19,38.47,61.7,37.2,9389,486.3,60.5,standing,healthy
T005,2024-07-20,38.63,77.6,33.68,9050,533.8,61.1,lying,healthy
T005,2024-07-21,38.65,64.0,32.52,10704,493.9,62.9,standing,healthy
T005,2024-07-22,38.78,69.1,30.19,10723,484.0,68.7,grazing,healthy
T005,2024-07-23,38.81,72.2,31.37,10080,478.4,78.8,lying,healthy
T005,2024-07-24,38.47,66.5,34.7,7026,452.9,70.0,lying,healthy
T005,2024-07-25,38.92,74.9,35.74,8417,475.6,70.0,standing,healthy
T005,2024-07-26,38.38,72.4,33.28,9580,502.0,55.1,lying,healthy
T005,2024-07-27,38.41,68.9,38.49,10557,455.4,72.8,grazing,healthy
T005,2024-07-28,38.63,61.5,31.2,9408,477.7,69.5,walking,healthy
T005,2024-07-29,38.33,65.5,35.56,9010,480.6,63.0,grazing,healthy
T005,2024-07-30,38.47,69.3,32.47,6222,469.7,65.4,lying,healthy
T006,2024-07-01,38.49,72.6,31.62,7554,472.9,68.6,standing,healthy
T006,2024-07-02,38.29,69.0,32.55,8707,497.3,57.4,grazing,healthy
T006,2024-07-03,38.72,66.6,32.27,9803,487.9,68.3,walking,healthy
T006,2024-07-04,38.73,69.5,32.25,6387,476.3,61.6,grazing,healthy
T006,2024-07-05,38.99,67.7,34.07,4506,506.6,67.8,lying,healthy
T006,2024-07-06,38.28,79.8,29.8,7628,441.7,69.6,walking,healthy
T006,2024-07-07,38.65,75.7,32.86,7386,505.0,68.7,grazing,healthy
T006,2024-07-08,38.8,76.0,38.05,7503,458.9,66.2,grazing,healthy
T006,2024-07-09,39.09,72.8,36.59,5618,531.7,58.9,standing,healthy
T006,2024-07-10,39.06,67.0,35.25,8969,494.3,67.9,lying,healthy
T006,2024-07-11,39.11,63.1,36.41,8015,464.2,74.0,grazing,healthy
T006,2024-07-12,38.84,63.9,27.97,4967,443.6,75.1,lying,healthy
T006,2024-07-13,38.65,62.7,41.11,8416,450.5,79.3,lying,healthy
T006,2024-07-14,38.82,72.5,31.68,7078,434.1,56.6,lying,healthy
T006,2024-07-15,39.07,77.8,39.95,7837,495.4,70.9,grazing,healthy
T006,2024-07-16,38.75,69.6,32.87,7822,473.4,60.1,standing,healthy
T006,2024-07-17,38.56,63.6,34.53,8913,506.7,56.3,grazing,healthy
T006,2024-07-18,38.66,61.6,33.12,6897,440.6,69.1,lying,healthy
T006,2024-07-19,38.66,69.3,26.55,7676,473.9,69.1,grazing,healthy
T006,2024-07-20,38.67,68.2,35.84,7284,516.8,68.1,grazing,healthy
T006,2024-07-21,38.63,65.4,27.41,9378,431.0,61.6,grazing,healthy
T006,2024-07-22,39.01,65.8,41.91,6027,482.9,61.1,lying,healthy
T006,2024-07-23,38.51,69.2,36.57,7641,468.1,65.0,standing,healthy
T006,2024-07-24,39.12,74.5,26.8,7452,525.6,55.7,lying,healthy
T006,2024-07-25,38.61,74.6,41.27,6384,494.5,75.5,standing,healthy
T006,2024-07-26,38.53,65.2,31.08,6847,448.0,66.0,grazing,healthy
T006,2024-07-27,38.87,61.8,35.21,8187,404.8,68.0,lying,healthy
T006,2024-07-28,38.98,75.8,32.55,9348,477.9,61.7,grazing,healthy
T006,2024-07-29,38.94,64.3,34.48,5266,470.7,60.3,grazing,healthy
T006,2024-07-30,39.14,63.1,31.32,5274,477.1,70.4,grazing,healthy
T007,2024-07-01,38.89,70.8,36.9,6854,428.8,57.2,lying,healthy
T007,2024-07-02,39.06,76.6,27.5,8963,476.5,69.8,grazing,healthy
T007,2024-07-03,38.93,68.3,32.14,9070,465.2,69.9,grazing,healthy
T007,2024-07-04,39.01,66.0,31.53,6331,463.0,62.0,grazing,healthy
T007,2024-07-05,39.26,72.3,34.73,7843,504.0,76.6,standing,healthy
T007,2024-07-06,39.07,57.9,32.88,7392,440.6,71.3,lying,healthy
T007,2024-07-07,38.94,68.3,23.7,6654,470.3,61.0,walking,healthy
T007,2024-07-08,39.08,64.1,34.47,6980,473.2,64.9,standing,healthy
T007,2024-07-09,38.83,65.6,31.23,7371,481.3,69.2,grazing,healthy
T007,2024-07-10,38.93,61.9,36.7,8525,555.5,62.0,grazing,healthy
T007,2024-07-11,38.88,62.5,31.58,6354,412.3,71.5,grazing,healthy
T007,2024-07-12,39.12,67.9,31.81,7366,474.8,73.4,standing,healthy
T007,2024-07-13,38.73,62.1,33.42,7856,495.6,69.0,lying,healthy
T007,2024-07-14,38.69,63.2,32.41,9394,445.2,54.4,lying,healthy
T007,2024-07-15,38.82,73.9,31.65,7006,511.8,64.6,standing,healthy
T007,2024-07-16,39.39,67.6,36.74,9709,517.9,69.9,walking,healthy
T007,2024-07-17,39.13,68.1,29.2,8473,451.6,80.3,standing,healthy
T007,2024-07-18,38.96,69.0,30.54,6832,520.8,62.4,grazing,healthy
T007,2024-07-19,38.6,63.8,35.0,9417,500.5,74.2,walking,healthy
T007,2024-07-20,38.74,63.0,30.33,8241,443.0,72.1,lying,healthy
T007,2024-07-21,39.24,65.4,36.77,7950,484.8,77.4,grazing,healthy
T007,2024-07-22,39.06,64.6,34.21,8599,468.0,64.7,lying,healthy
T007,2024-07-23,38.61,76.2,27.63,7588,465.7,70.1,standing,healthy
T007,2024-07-24,39.13,69.2,33.79,8964,446.9,75.5,grazing,healthy
T007,2024-07-25,38.89,70.6,37.87,8111,430.0,70.7,grazing,healthy
T007,2024-07-26,38.77,68.1,25.88,8518,500.7,82.1,lying,healthy
T007,2024-07-27,39.2,70.3,24.67,8855,488.7,76.0,standing,healthy
T007,2024-07-28,39.1,67.0,32.5,8952,442.9,76.0,standing,healthy
T007,2024-07-29,38.82,74.7,34.37,6321,490.9,75.4,walking,healthy
T007,2024-07-30,38.78,62.2,27.61,7285,446.7,63.4,grazing,healthy
T008,2024-07-01,38.11,73.0,29.86,11498,439.0,65.6,walking,healthy
T008,2024-07-02,38.96,75.6,39.68,9416,436.9,69.4,grazing,healthy
T008,2024-07-03,38.29,68.0,31.57,7583,483.1,70.2,grazing,healthy
T008,2024-07-04,37.8,71.2,30.4,7021,429.2,63.7,standing,healthy
T008,2024-07-05,38.87,70.5,27.73,10583,501.5,68.0,standing,healthy
T008,2024-07-06,38.78,66.8,37.73,5654,414.9,66.6,lying,healthy
T008,2024-07-07,38.53,60.9,33.79,7981,442.4,54.9,grazing,healthy
T008,2024-07-08,38.4,69.6,31.48,9980,419.8,64.2,standing,healthy
T008,2024-07-09,38.48,75.1,39.82,7578,437.6,67.3,walking,healthy
T008,2024-07-10,38.59,65.7,33.93,8330,424.6,59.1,standing,healthy
T008,2024-07-11,38.43,69.5,36.45,7128,511.0,62.8,standing,healthy
T008,2024-07-12,38.36,67.9,32.8,6702,397.0,58.3,grazing,healthy
T008,2024-07-13,38.51,70.1,25.31,7485,486.5,56.9,standing,healthy
T008,2024-07-14,38.16,77.7,32.7,8625,430.4,62.6,standing,healthy
T008,2024-07-15,38.31,64.8,33.24,9666,423.2,64.8,grazing,healthy
T008,2024-07-16,38.42,68.6,34.05,10527,455.8,59.5,lying,healthy
T008,2024-07-17,38.6,71.6,21.71,6860,480.4,76.8,standing,healthy
T008,2024-07-18,38.84,68.2,29.43,8096,436.7,68.1,standing,healthy
T008,2024-07-19,38.37,64.2,32.89,10285,470.0,63.0,grazing,healthy
T008,2024-07-20,38.4,70.0,33.77,8131,456.6,60.1,grazing,healthy
T008,2024-07-21,38.44,80.8,33.68,7195,443.8,71.4,grazing,healthy
T008,2024-07-22,38.03,68.8,33.97,9951,500.3,67.7,lying,healthy
T008,2024-07-23,38.51,71.4,34.52,7072,436.2,70.7,grazing,healthy
T008,2024-07-24,38.42,69.9,29.88,7502,469.2,69.0,standing,healthy
T008,2024-07-25,39.01,63.7,32.45,10008,455.9,67.2,grazing,healthy
T008,2024-07-26,38.78,73.7,26.99,7841,459.9,62.9,lying,healthy
T008,2024-07-27,38.63,69.3,33.21,7713,470.6,62.7,grazing,healthy
T008,2024-07-28,38.94,69.4,30.97,5631,452.9,72.3,lying,healthy
T008,2024-07-29,38.81,67.9,27.84,7516,488.1,67.8,standing,healthy
T008,2024-07-30,38.35,66.4,29.36,5534,485.5,72.0,walking,healthy
T009,2024-07-01,38.88,63.3,36.69,7356,486.7,67.9,standing,healthy
T009,2024-07-02,38.74,66.0,34.85,9749,515.1,54.6,standing,healthy
T009,2024-07-03,38.83,70.1,32.16,8416,496.8,70.0,standing,healthy
T009,2024-07-04,39.08,69.1,34.28,6704,484.9,56.0,grazing,healthy
T009,2024-07-05,38.23,59.3,35.16,7265,476.5,68.2,standing,healthy
T009,2024-07-06,38.85,66.3,34.73,8215,490.7,71.5,standing,healthy
T009,2024-07-07,38.67,69.5,39.62,7670,467.4,66.1,lying,healthy
T009,2024-07-08,38.72,61.6,34.86,9326,449.4,68.8,walking,healthy
T009,2024-07-09,39.02,67.6,30.59,8052,520.3,60.6,standing,healthy
T009,2024-07-10,38.86,69.1,34.24,8810,573.7,55.3,lying,healthy
T009,2024-07-11,38.63,70.0,37.53,7782,513.0,75.9,walking,healthy
T009,2024-07-12,39.13,63.9,34.87,6705,480.7,64.7,walking,healthy
T009,2024-07-13,38.2,68.5,33.83,8017,539.0,62.5,standing,healthy
T009,2024-07-14,38.85,66.2,21.42,7674,407.3,68.9,standing,healthy
T009,2024-07-15,38.49,68.3,24.79,7559,453.3,68.1,lying,healthy
T009,2024-07-16,39.14,69.5,30.54,6948,472.8,60.9,lying,healthy
T009,2024-07-17,38.87,72.3,31.45,10432,477.5,61.9,lying,healthy
T009,2024-07-18,38.42,71.3,30.53,8964,533.2,71.7,grazing,healthy
T009,2024-07-19,38.66,66.1,32.01,10056,511.0,64.6,lying,healthy
T009,2024-07-20,38.58,64.4,29.97,9938,462.5,69.3,walking,healthy
T009,2024-07-21,38.76,63.6,37.7,7832,480.3,70.4,walking,healthy
T009,2024-07-22,38.86,69.5,34.21,8036,453.6,56.0,lying,healthy
T009,2024-07-23,38.64,65.8,31.77,8168,443.7,73.8,walking,healthy
T009,2024-07-24,38.58,69.9,35.16,10353,453.5,60.5,grazing,healthy
T009,2024-07-25,38.53,73.6,30.22,8336,488.7,65.4,lying,healthy
T009,2024-07-26,39.0,60.7,36.62,10022,506.9,60.3,standing,healthy
T009,2024-07-27,39.17,63.6,30.38,7560,506.9,74.1,lying,healthy
T009,2024-07-28,39.15,67.4,28.14,9404,438.2,56.4,standing,healthy
T009,2024-07-29,39.12,67.9,32.61,6908,494.5,63.4,lying,healthy
T009,2024-07-30,38.8,67.6,33.19,6533,467.0,55.4,grazing,healthy
T010,2024-07-01,38.63,69.8,25.98,6201,455.8,69.6,walking,healthy
T010,2024-07-02,39.05,69.0,32.06,9262,460.4,63.5,standing,healthy
T010,2024-07-03,38.62,66.1,24.14,8638,460.0,70.2,lying,healthy
T010,2024-07-04,38.61,77.3,34.36,8835,566.2,75.5,standing,healthy
T010,2024-07-05,38.54,67.6,44.95,5712,506.5,71.5,lying,healthy
T010,2024-07-06,38.57,69.1,30.06,8801,493.2,61.7,grazing,healthy
T010,2024-07-07,38.94,67.8,25.07,9306,465.9,64.8,grazing,healthy
T010,2024-07-08,38.72,58.3,45.27,7315,539.4,66.7,grazing,healthy
T010,2024-07-09,38.8,68.4,32.16,7469,490.8,75.5,grazing,healthy
T010,2024-07-10,38.63,72.0,43.55,7915,566.1,67.3,grazing,healthy
T010,2024-07-11,38.47,69.6,28.68,5872,475.7,73.9,standing,healthy
T010,2024-07-12,38.53,71.4,35.37,8596,512.3,65.2,grazing,healthy
T010,2024-07-13,38.96,70.8,34.63,9057,496.7,63.4,standing,healthy
T010,2024-07-14,38.25,61.5,32.19,6953,501.3,67.9,grazing,healthy
T010,2024-07-15,38.19,68.8,33.06,6603,520.7,74.4,standing,healthy
T010,2024-07-16,38.62,65.2,28.56,6673,528.1,65.0,grazing,healthy
T010,2024-07-17,38.87,67.2,31.86,5060,519.8,61.3,grazing,healthy
T010,2024-07-18,38.25,72.8,29.2,8101,497.9,74.8,lying,healthy
T010,2024-07-19,39.11,73.0,33.99,7026,525.8,62.9,grazing,healthy
T010,2024-07-20,38.72,73.5,27.85,7750,471.7,74.1,lying,healthy
T010,2024-07-21,38.49,66.4,30.69,7864,468.8,75.5,standing,healthy
T010,2024-07-22,38.5,68.1,37.35,6323,467.5,75.5,standing,healthy
T010,2024-07-23,38.32,64.7,30.91,8802,506.8,69.9,lying,healthy
T010,2024-07-24,38.6,71.0,32.76,10242,552.5,60.8,grazing,healthy
T010,2024-07-25,38.9,72.9,33.45,7922,476.0,66.8,grazing,healthy
T010,2024-07-26,38.55,68.6,34.89,7503,398.5,68.8,lying,healthy
T010,2024-07-27,38.52,63.1,30.76,7473,481.7,77.4,grazing,healthy
T010,2024-07-28,38.56,69.9,31.38,10400,488.0,70.9,walking,healthy
T010,2024-07-29,38.27,71.3,34.74,6493,467.2,75.5,walking,healthy
T010,2024-07-30,39.05,65.0,33.92,7473,466.8,60.3,standing,healthy
T011,2024-07-01,38.45,57.8,29.64,11232,499.8,67.4,grazing,healthy
T011,2024-07-02,38.63,76.1,31.47,9465,447.0,68.3,grazing,healthy
T011,2024-07-03,39.09,70.7,33.16,7635,452.2,68.2,lying,healthy
T011,2024-07-04,39.09,72.0,24.42,8967,496.0,53.9,lying,healthy
T011,2024-07-05,38.47,67.6,23.11,7867,530.5,67.7,grazing,healthy
T011,2024-07-06,38.76,67.2,27.57,7235,451.4,69.6,grazing,healthy
T011,2024-07-07,38.45,63.6,31.61,8743,512.2,77.0,standing,healthy
T011,2024-07-08,38.45,70.6,29.43,7754,408.1,69.5,standing,healthy
T011,2024-07-09,38.85,64.7,39.9,6006,478.8,79.7,standing,healthy
T011,2024-07-10,38.7,71.4,27.72,10939,406.0,64.2,standing,healthy
T011,2024-07-11,38.68,62.3,29.3,7537,492.9,58.0,lying,healthy
T011,2024-07-12,38.82,65.1,31.21,8307,473.8,70.8,grazing,healthy
T011,2024-07-13,38.55,69.7,30.59,7262,489.4,78.4,standing,healthy
T011,2024-07-14,38.65,73.6,35.79,8397,430.2,67.5,standing,healthy
T011,2024-07-15,39.09,63.0,33.22,9243,456.5,64.7,lying,healthy
T011,2024-07-16,38.77,67.9,28.31,7060,484.2,63.0,grazing,healthy
T011,2024-07-17,38.31,65.4,36.45,9941,451.3,56.3,grazing,healthy
T011,2024-07-18,38.95,69.6,23.39,9888,428.7,63.3,grazing,healthy
T011,2024-07-19,38.55,68.1,26.21,7566,496.3,68.2,lying,healthy
T011,2024-07-20,38.85,70.2,42.35,7049,505.8,72.2,grazing,healthy
T011,2024-07-21,38.63,67.2,34.65,7930,525.2,58.8,walking,healthy
T011,2024-07-22,38.7,65.8,25.88,7619,487.8,67.6,lying,healthy
T011,2024-07-23,38.88,69.8,32.32,9702,434.8,71.6,standing,healthy
T011,2024-07-24,39.0,68.4,35.24,7351,414.0,71.7,standing,healthy
T011,2024-07-25,38.06,63.6,25.61,8979,432.1,71.5,lying,healthy
T011,2024-07-26,38.82,63.8,25.11,9218,492.6,64.8,grazing,healthy
T011,2024-07-27,38.42,65.6,36.9,10356,506.6,68.1,grazing,healthy
T011,2024-07-28,38.5,69.9,27.94,8835,476.0,58.0,grazing,healthy
T011,2024-07-29,38.9,66.5,31.63,10690,581.2,71.2,grazing,healthy
T011,2024-07-30,38.65,72.3,34.98,9156,469.7,74.1,grazing,healthy
T012,2024-07-01,38.9,71.1,35.32,9729,471.4,69.8,lying,healthy
T012,2024-07-02,38.9,65.9,30.05,9430,469.5,68.5,standing,healthy
T012,2024-07-03,39.01,70.3,35.51,7617,471.9,61.8,grazing,healthy
T012,2024-07-04,38.73,69.1,34.36,9355,436.8,64.1,grazing,healthy
T012,2024-07-05,38.67,64.6,36.38,7043,508.7,69.5,standing,healthy
T012,2024-07-06,39.07,75.7,33.57,6721,436.5,59.2,lying,healthy
T012,2024-07-07,38.41,72.4,30.43,9546,452.9,55.6,walking,healthy
T012,2024-07-08,38.68,67.4,35.69,7353,520.2,72.7,walking,healthy
T012,2024-07-09,38.7,62.7,31.4,7891,437.9,60.1,lying,healthy
T012,2024-07-10,38.46,68.3,40.07,6755,449.1,76.0,lying,healthy
T012,2024-07-11,38.42,65.4,32.88,5668,439.4,59.8,walking,healthy
T012,2024-07-12,38.81,69.6,32.88,7794,478.5,60.9,walking,healthy
T012,2024-07-13,38.47,71.3,36.91,6060,500.3,75.0,lying,healthy
T012,2024-07-14,38.95,61.8,32.29,7912,529.9,70.1,walking,healthy
